# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.804000000000000E+009;-2.395050674676895E-001;3.051915764808655E-001;
1.818950000000000E+009;-2.394628971815109E-001;2.980550229549408E-001;
1.833900000000000E+009;-2.497252672910690E-001;2.809648513793945E-001;
1.848850000000000E+009;-2.601567804813385E-001;2.467408031225205E-001;
1.863800000000000E+009;-2.394711822271347E-001;2.175722271203995E-001;
1.878750000000000E+009;-2.333385348320007E-001;2.169204801321030E-001;
1.893700000000000E+009;-2.355500161647797E-001;2.303274571895599E-001;
1.908650000000000E+009;-2.529814839363098E-001;2.379774451255798E-001;
1.923600000000000E+009;-3.018500804901123E-001;2.456407248973846E-001;
1.938550000000000E+009;-3.313209414482117E-001;2.248204946517944E-001;
1.953500000000000E+009;-3.470196127891541E-001;2.244086861610413E-001;
1.968450000000000E+009;-3.328068256378174E-001;2.352292239665985E-001;
1.983400000000000E+009;-3.184490799903870E-001;2.720479965209961E-001;
1.998350000000000E+009;-3.214002549648285E-001;3.345423638820648E-001;
2.013300000000000E+009;-3.519366681575775E-001;3.709798753261566E-001;
2.028250000000000E+009;-3.776256442070007E-001;4.143439829349518E-001;
2.043200000000000E+009;-3.944574296474457E-001;4.396774172782898E-001;
2.058150000000000E+009;-3.686375617980957E-001;4.730673432350159E-001;
2.073100000000000E+009;-3.236643671989441E-001;5.098112821578980E-001;
2.088050000000000E+009;-3.112880289554596E-001;5.620297789573669E-001;
2.103000000000000E+009;-2.858552932739258E-001;6.080794930458069E-001;
2.117950000000000E+009;-2.765904366970062E-001;6.449413299560547E-001;
2.132900000000000E+009;-2.347544431686401E-001;6.580559015274048E-001;
2.147850000000000E+009;-1.713843792676926E-001;6.608694791793823E-001;
2.162800000000000E+009;-1.121515035629273E-001;6.757488250732422E-001;
2.177750000000000E+009;-6.089194118976593E-002;6.857317090034485E-001;
2.192700000000000E+009;-3.277119621634483E-002;7.244033217430115E-001;
2.207650000000000E+009;-1.006545871496201E-002;7.266163229942322E-001;
2.222600000000000E+009;1.776987127959728E-002;7.065693736076355E-001;
2.237550000000000E+009;5.727620422840118E-002;6.667487621307373E-001;
2.252500000000000E+009;1.200701817870140E-001;6.278372406959534E-001;
2.267450000000000E+009;1.799804866313934E-001;6.278707385063171E-001;
2.282400000000000E+009;2.069020867347717E-001;6.505013108253479E-001;
2.297350000000000E+009;2.015925049781799E-001;6.839502453804016E-001;
2.312300000000000E+009;1.858392059803009E-001;6.814068555831909E-001;
2.327250000000000E+009;1.820436269044876E-001;6.353325247764587E-001;
2.342200000000000E+009;2.167965024709702E-001;5.910798311233521E-001;
2.357150000000000E+009;2.580676972866058E-001;5.554793477058411E-001;
2.372100000000000E+009;3.067645132541657E-001;5.538684129714966E-001;
2.387050000000000E+009;3.446586430072784E-001;5.828217864036560E-001;
2.402000000000000E+009;3.482202887535095E-001;6.047263741493225E-001;
2.416950000000000E+009;3.518809378147125E-001;5.909333825111389E-001;
2.431900000000000E+009;3.701781630516052E-001;5.694987773895264E-001;
2.446850000000000E+009;4.172236621379852E-001;5.270563960075378E-001;
2.461800000000000E+009;4.765625000000000E-001;5.162386894226074E-001;
2.476750000000000E+009;5.221330523490906E-001;5.394679903984070E-001;
2.491700000000000E+009;5.320518612861633E-001;5.367938876152039E-001;
2.506650000000000E+009;5.276734828948975E-001;5.285512208938599E-001;
2.521600000000000E+009;5.275521278381348E-001;4.588719308376312E-001;
2.536550000000000E+009;5.640110373497009E-001;3.922367691993713E-001;
2.551500000000000E+009;6.276646256446838E-001;3.610478341579437E-001;
2.566450000000000E+009;6.705983877182007E-001;3.419965505599976E-001;
2.581400000000000E+009;6.988101005554199E-001;3.662675619125366E-001;
2.596350000000000E+009;6.505989432334900E-001;3.505545258522034E-001;
2.611300000000000E+009;6.152349114418030E-001;2.982245683670044E-001;
2.626250000000000E+009;6.063451170921326E-001;2.212816774845123E-001;
2.641200000000000E+009;6.258385777473450E-001;1.615367829799652E-001;
2.656150000000000E+009;6.876383423805237E-001;1.303294599056244E-001;
2.671100000000000E+009;6.983410120010376E-001;1.310513168573380E-001;
2.686050000000000E+009;7.165941596031189E-001;1.416709423065186E-001;
2.701000000000000E+009;6.760882735252380E-001;1.392259746789932E-001;
2.715950000000000E+009;6.528877615928650E-001;1.003818511962891E-001;
2.730900000000000E+009;6.532109975814819E-001;4.199118539690971E-002;
2.745850000000000E+009;6.568707227706909E-001;2.292208001017571E-002;
2.760800000000000E+009;6.863207817077637E-001;1.062130648642778E-002;
2.775750000000000E+009;6.928399801254273E-001;1.898010261356831E-002;
2.790700000000000E+009;6.690170764923096E-001;-6.939674727618694E-003;
2.805650000000000E+009;6.474798321723938E-001;-3.914192691445351E-002;
2.820600000000000E+009;6.579041481018066E-001;-7.423912733793259E-002;
2.835550000000000E+009;6.740542054176331E-001;-9.604907780885696E-002;
2.850500000000000E+009;7.013823390007019E-001;-1.053768023848534E-001;
2.865450000000000E+009;6.870744824409485E-001;-1.155821904540062E-001;
2.880400000000000E+009;6.668876409530640E-001;-1.275305300951004E-001;
2.895350000000000E+009;6.573247313499451E-001;-1.690538972616196E-001;
2.910300000000000E+009;6.529400944709778E-001;-2.078369408845902E-001;
2.925250000000000E+009;6.857878565788269E-001;-2.670360505580902E-001;
2.940200000000000E+009;7.013893723487854E-001;-2.893843650817871E-001;
2.955150000000000E+009;7.014870643615723E-001;-3.023338913917542E-001;
2.970100000000000E+009;6.857936978340149E-001;-3.250526487827301E-001;
2.985050000000000E+009;6.639115214347839E-001;-3.355511128902435E-001;
3.000000000000000E+009;6.478216052055359E-001;-3.845735788345337E-001;
