# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.355500000000000E+009;-5.205860137939453E-001;-1.938604116439819E-001;
1.370450000000000E+009;-5.465740561485291E-001;-1.461125016212463E-001;
1.385400000000000E+009;-5.569474101066589E-001;-1.206364631652832E-001;
1.400350000000000E+009;-5.481407642364502E-001;-8.830065280199051E-002;
1.415300000000000E+009;-5.234079360961914E-001;-4.144119098782539E-002;
1.430250000000000E+009;-5.029236078262329E-001;-4.483187571167946E-003;
1.445200000000000E+009;-4.947367608547211E-001;2.653929032385349E-002;
1.460150000000000E+009;-4.813611507415772E-001;4.622360691428185E-002;
1.475100000000000E+009;-4.684132635593414E-001;6.137662753462791E-002;
1.490050000000000E+009;-4.331085681915283E-001;7.845349609851837E-002;
1.505000000000000E+009;-4.029609262943268E-001;9.685682505369186E-002;
1.519950000000000E+009;-3.757131397724152E-001;1.197643876075745E-001;
1.534900000000000E+009;-3.853525221347809E-001;1.299169063568115E-001;
1.549850000000000E+009;-4.049798548221588E-001;1.348293721675873E-001;
1.564800000000000E+009;-4.044060409069061E-001;1.341848522424698E-001;
1.579750000000000E+009;-3.846760988235474E-001;1.204528883099556E-001;
1.594700000000000E+009;-3.636411726474762E-001;1.227306723594666E-001;
1.609650000000000E+009;-3.574277162551880E-001;1.344644129276276E-001;
1.624600000000000E+009;-3.768751621246338E-001;1.426106840372086E-001;
1.639550000000000E+009;-4.094686508178711E-001;1.571092456579208E-001;
1.654500000000000E+009;-4.375611245632172E-001;1.623004376888275E-001;
1.669450000000000E+009;-4.332740902900696E-001;1.685175746679306E-001;
1.684400000000000E+009;-4.004209041595459E-001;1.861015111207962E-001;
1.699350000000000E+009;-3.698857128620148E-001;1.975778937339783E-001;
1.714300000000000E+009;-3.623565733432770E-001;2.367978841066361E-001;
1.729250000000000E+009;-3.563652336597443E-001;2.779612839221954E-001;
1.744200000000000E+009;-3.479453623294830E-001;2.873866260051727E-001;
1.759150000000000E+009;-3.205474019050598E-001;2.955388724803925E-001;
1.774100000000000E+009;-2.894124090671539E-001;2.842394709587097E-001;
1.789050000000000E+009;-2.519422471523285E-001;2.928703427314758E-001;
1.804000000000000E+009;-2.361165583133698E-001;3.013999462127686E-001;
1.818950000000000E+009;-2.399459630250931E-001;3.000366389751434E-001;
1.833900000000000E+009;-2.539229989051819E-001;2.786481976509094E-001;
1.848850000000000E+009;-2.575447857379913E-001;2.486047744750977E-001;
1.863800000000000E+009;-2.505977451801300E-001;2.197905480861664E-001;
1.878750000000000E+009;-2.378209233283997E-001;2.145738899707794E-001;
1.893700000000000E+009;-2.367389798164368E-001;2.345325052738190E-001;
1.908650000000000E+009;-2.609609663486481E-001;2.384884208440781E-001;
1.923600000000000E+009;-3.005240261554718E-001;2.454200536012650E-001;
1.938550000000000E+009;-3.315942585468292E-001;2.294715344905853E-001;
1.953500000000000E+009;-3.474979698657990E-001;2.234049290418625E-001;
1.968450000000000E+009;-3.360383212566376E-001;2.369503229856491E-001;
1.983400000000000E+009;-3.259355425834656E-001;2.738426029682159E-001;
1.998350000000000E+009;-3.268825113773346E-001;3.319123983383179E-001;
2.013300000000000E+009;-3.565258085727692E-001;3.772757649421692E-001;
2.028250000000000E+009;-3.833750486373901E-001;4.158203303813934E-001;
2.043200000000000E+009;-3.976431787014008E-001;4.393366873264313E-001;
2.058150000000000E+009;-3.704027533531189E-001;4.740049242973328E-001;
2.073100000000000E+009;-3.306711316108704E-001;5.120238065719605E-001;
2.088050000000000E+009;-3.127000927925110E-001;5.663400292396545E-001;
2.103000000000000E+009;-2.899175584316254E-001;6.128646731376648E-001;
2.117950000000000E+009;-2.823015749454498E-001;6.528072953224182E-001;
2.132900000000000E+009;-2.386880964040756E-001;6.642595529556274E-001;
2.147850000000000E+009;-1.769927293062210E-001;6.705480813980103E-001;
2.162800000000000E+009;-1.148760467767716E-001;6.781441569328308E-001;
2.177750000000000E+009;-6.346934288740158E-002;6.918562054634094E-001;
2.192700000000000E+009;-3.007934428751469E-002;7.259387969970703E-001;
2.207650000000000E+009;-1.469452958554030E-002;7.367893457412720E-001;
2.222600000000000E+009;1.562745310366154E-002;7.142187356948853E-001;
2.237550000000000E+009;5.939875170588493E-002;6.719904541969299E-001;
2.252500000000000E+009;1.183163598179817E-001;6.410307884216309E-001;
2.267450000000000E+009;1.818693280220032E-001;6.289758086204529E-001;
2.282400000000000E+009;2.087935358285904E-001;6.618134379386902E-001;
2.297350000000000E+009;2.006653249263763E-001;6.877294182777405E-001;
2.312300000000000E+009;1.875621378421783E-001;6.839403510093689E-001;
2.327250000000000E+009;1.832406669855118E-001;6.447984576225281E-001;
2.342200000000000E+009;2.160886377096176E-001;5.934538841247559E-001;
2.357150000000000E+009;2.658300101757050E-001;5.629013776779175E-001;
2.372100000000000E+009;3.106966614723206E-001;5.659698247909546E-001;
2.387050000000000E+009;3.468651771545410E-001;5.907089114189148E-001;
2.402000000000000E+009;3.524336218833923E-001;6.112387776374817E-001;
2.416950000000000E+009;3.511494100093842E-001;5.991188287734985E-001;
2.431900000000000E+009;3.728390634059906E-001;5.710500478744507E-001;
2.446850000000000E+009;4.216831922531128E-001;5.332613587379456E-001;
2.461800000000000E+009;4.821527302265167E-001;5.258752703666687E-001;
2.476750000000000E+009;5.285832285881043E-001;5.394245386123657E-001;
2.491700000000000E+009;5.445538759231567E-001;5.486885905265808E-001;
2.506650000000000E+009;5.296373963356018E-001;5.310961008071899E-001;
2.521600000000000E+009;5.357360243797302E-001;4.602393507957459E-001;
2.536550000000000E+009;5.703306198120117E-001;3.981679379940033E-001;
2.551500000000000E+009;6.297253370285034E-001;3.637043833732605E-001;
2.566450000000000E+009;6.819938421249390E-001;3.492734730243683E-001;
2.581400000000000E+009;7.003409862518311E-001;3.681062161922455E-001;
2.596350000000000E+009;6.612594723701477E-001;3.477019965648651E-001;
2.611300000000000E+009;6.244339346885681E-001;2.991099357604981E-001;
2.626250000000000E+009;6.138774752616882E-001;2.246913611888886E-001;
2.641200000000000E+009;6.350381374359131E-001;1.617258042097092E-001;
2.656150000000000E+009;6.935139894485474E-001;1.354236453771591E-001;
2.671100000000000E+009;7.072086930274963E-001;1.323504447937012E-001;
2.686050000000000E+009;7.172241806983948E-001;1.403997689485550E-001;
2.701000000000000E+009;6.816372275352478E-001;1.361625343561173E-001;
2.715950000000000E+009;6.614903807640076E-001;9.809944778680801E-002;
2.730900000000000E+009;6.581675410270691E-001;4.276661947369576E-002;
2.745850000000000E+009;6.662813425064087E-001;1.906869560480118E-002;
2.760800000000000E+009;6.941650509834290E-001;1.074475049972534E-002;
2.775750000000000E+009;6.971678733825684E-001;1.297762989997864E-002;
2.790700000000000E+009;6.798602938652039E-001;-1.007098425179720E-002;
2.805650000000000E+009;6.542590260505676E-001;-3.506626933813095E-002;
2.820600000000000E+009;6.560836434364319E-001;-7.853392511606216E-002;
2.835550000000000E+009;6.868094801902771E-001;-9.790389239788055E-002;
2.850500000000000E+009;7.017194628715515E-001;-1.047503426671028E-001;
2.865450000000000E+009;6.889585256576538E-001;-1.254393309354782E-001;
2.880400000000000E+009;6.798720359802246E-001;-1.316276639699936E-001;
2.895350000000000E+009;6.577624082565308E-001;-1.711215525865555E-001;
2.910300000000000E+009;6.697415709495544E-001;-2.137842476367950E-001;
2.925250000000000E+009;6.859086155891419E-001;-2.601220905780792E-001;
2.940200000000000E+009;6.977662444114685E-001;-2.973598837852478E-001;
2.955150000000000E+009;7.111154794692993E-001;-3.090139329433441E-001;
2.970100000000000E+009;6.856685280799866E-001;-3.246561586856842E-001;
2.985050000000000E+009;6.701335310935974E-001;-3.484016358852387E-001;
3.000000000000000E+009;6.548813581466675E-001;-3.878213465213776E-001;
