# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
2.476750000000000E+009;5.796402692794800E-001;4.635337889194489E-001;
2.491700000000000E+009;5.955128073692322E-001;4.711748659610748E-001;
2.506650000000000E+009;5.860683917999268E-001;4.436617493629456E-001;
2.521600000000000E+009;5.800700783729553E-001;3.871045708656311E-001;
2.536550000000000E+009;6.138976216316223E-001;3.145826756954193E-001;
2.551500000000000E+009;6.614932417869568E-001;2.883521020412445E-001;
2.566450000000000E+009;7.080142498016357E-001;2.676579654216766E-001;
2.581400000000000E+009;7.136088609695435E-001;2.730168402194977E-001;
2.596350000000000E+009;6.848949193954468E-001;2.622033953666687E-001;
2.611300000000000E+009;6.413766145706177E-001;2.075357288122177E-001;
2.626250000000000E+009;6.336609721183777E-001;1.451617926359177E-001;
2.641200000000000E+009;6.501570940017700E-001;8.442129939794540E-002;
2.656150000000000E+009;6.845095157623291E-001;5.996263027191162E-002;
2.671100000000000E+009;7.015119194984436E-001;5.477089434862137E-002;
2.686050000000000E+009;6.960344314575195E-001;6.506942212581635E-002;
2.701000000000000E+009;6.699417233467102E-001;5.636456981301308E-002;
2.715950000000000E+009;6.359115839004517E-001;1.527274027466774E-002;
2.730900000000000E+009;6.443508267402649E-001;-2.761753275990486E-002;
2.745850000000000E+009;6.466388702392578E-001;-5.617185682058334E-002;
2.760800000000000E+009;6.638005971908569E-001;-5.769364908337593E-002;
2.775750000000000E+009;6.733013987541199E-001;-6.330046057701111E-002;
2.790700000000000E+009;6.358333230018616E-001;-7.786077260971069E-002;
2.805650000000000E+009;6.337139606475830E-001;-1.055915355682373E-001;
2.820600000000000E+009;6.311667561531067E-001;-1.334465444087982E-001;
2.835550000000000E+009;6.441026926040649E-001;-1.503140181303024E-001;
2.850500000000000E+009;6.592488288879395E-001;-1.705286800861359E-001;
2.865450000000000E+009;6.443805694580078E-001;-1.707401275634766E-001;
2.880400000000000E+009;6.310895085334778E-001;-1.926676779985428E-001;
2.895350000000000E+009;6.224088668823242E-001;-2.229252755641937E-001;
2.910300000000000E+009;6.170346736907959E-001;-2.618940472602844E-001;
2.925250000000000E+009;6.278089880943298E-001;-3.089196681976318E-001;
2.940200000000000E+009;6.465544700622559E-001;-3.229870498180389E-001;
2.955150000000000E+009;6.360771059989929E-001;-3.375089168548584E-001;
2.970100000000000E+009;6.241970062255859E-001;-3.567228019237518E-001;
2.985050000000000E+009;6.058216094970703E-001;-3.781132102012634E-001;
3.000000000000000E+009;5.801984071731567E-001;-4.126107692718506E-001;
