# Version 1.00
#
freq[Hz];Trc1_S11[U];
2.745850000000000E+009;4.814107320719312E+000;
2.760800000000000E+009;5.270513603020246E+000;
2.775750000000000E+009;5.519004859600403E+000;
2.790700000000000E+009;4.926298359491197E+000;
2.805650000000000E+009;4.710794582401606E+000;
2.820600000000000E+009;4.769616793903005E+000;
2.835550000000000E+009;5.243617152315808E+000;
2.850500000000000E+009;5.687477459725812E+000;
2.865450000000000E+009;5.505564037031919E+000;
2.880400000000000E+009;5.187943196603364E+000;
2.895350000000000E+009;5.098568194132588E+000;
2.910300000000000E+009;5.411008497442764E+000;
2.925250000000000E+009;6.246391684936238E+000;
2.940200000000000E+009;7.115270270228519E+000;
2.955150000000000E+009;7.120621538990115E+000;
2.970100000000000E+009;7.018547557461838E+000;
2.985050000000000E+009;6.722337637564965E+000;
3.000000000000000E+009;6.861727940117262E+000;
