# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.863800000000000E+009;-2.367462068796158E-001;2.877390682697296E-001;
1.878750000000000E+009;-2.371819168329239E-001;2.969397604465485E-001;
1.893700000000000E+009;-2.361990362405777E-001;3.057779669761658E-001;
1.908650000000000E+009;-2.476490736007690E-001;3.185754120349884E-001;
1.923600000000000E+009;-2.846464514732361E-001;3.203905820846558E-001;
1.938550000000000E+009;-3.094755411148071E-001;3.145240843296051E-001;
1.953500000000000E+009;-3.083907663822174E-001;3.217564523220062E-001;
1.968450000000000E+009;-2.959206104278565E-001;3.320412039756775E-001;
1.983400000000000E+009;-2.704512774944305E-001;3.732221722602844E-001;
1.998350000000000E+009;-2.691429853439331E-001;4.198496043682098E-001;
2.013300000000000E+009;-2.947224676609039E-001;4.589200317859650E-001;
2.028250000000000E+009;-3.091321885585785E-001;4.902451634407044E-001;
2.043200000000000E+009;-3.142001032829285E-001;5.166009068489075E-001;
2.058150000000000E+009;-2.705855965614319E-001;5.351559519767761E-001;
2.073100000000000E+009;-2.295382171869278E-001;5.653881430625916E-001;
2.088050000000000E+009;-1.986096948385239E-001;6.172778606414795E-001;
2.103000000000000E+009;-1.826853901147842E-001;6.504541635513306E-001;
2.117950000000000E+009;-1.656409502029419E-001;6.842768192291260E-001;
2.132900000000000E+009;-1.242718175053597E-001;6.788079142570496E-001;
2.147850000000000E+009;-6.968211382627487E-002;6.814332604408264E-001;
2.162800000000000E+009;-2.586083952337503E-003;6.716123223304749E-001;
2.177750000000000E+009;3.330109640955925E-002;6.787376999855042E-001;
2.192700000000000E+009;7.480360567569733E-002;7.023177146911621E-001;
2.207650000000000E+009;8.491066098213196E-002;6.969308257102966E-001;
2.222600000000000E+009;1.057363376021385E-001;6.850386261940002E-001;
2.237550000000000E+009;1.321262866258621E-001;6.319496035575867E-001;
2.252500000000000E+009;1.896197497844696E-001;6.040970087051392E-001;
2.267450000000000E+009;2.460091710090637E-001;5.957928299903870E-001;
2.282400000000000E+009;2.659119665622711E-001;6.291258931159973E-001;
2.297350000000000E+009;2.705060243606567E-001;6.565351486206055E-001;
2.312300000000000E+009;2.426391541957855E-001;6.556270122528076E-001;
2.327250000000000E+009;2.581672370433807E-001;6.084421873092651E-001;
2.342200000000000E+009;2.845315635204315E-001;5.639747381210327E-001;
2.357150000000000E+009;3.355981111526489E-001;5.445654392242432E-001;
2.372100000000000E+009;3.846331238746643E-001;5.283371210098267E-001;
2.387050000000000E+009;4.237294495105743E-001;5.664923191070557E-001;
2.402000000000000E+009;4.301023185253143E-001;5.649913549423218E-001;
2.416950000000000E+009;4.225095212459564E-001;5.500389933586121E-001;
2.431900000000000E+009;4.466083049774170E-001;5.141852498054504E-001;
2.446850000000000E+009;4.754124581813812E-001;4.608349204063416E-001;
2.461800000000000E+009;5.444948673248291E-001;4.496982991695404E-001;
2.476750000000000E+009;5.770012140274048E-001;4.601406157016754E-001;
2.491700000000000E+009;5.905067920684815E-001;4.658392965793610E-001;
2.506650000000000E+009;5.850197076797485E-001;4.403108358383179E-001;
2.521600000000000E+009;5.760589241981506E-001;3.826149404048920E-001;
2.536550000000000E+009;6.098622679710388E-001;3.115946948528290E-001;
2.551500000000000E+009;6.576948165893555E-001;2.855166792869568E-001;
2.566450000000000E+009;7.001228928565979E-001;2.654308378696442E-001;
2.581400000000000E+009;7.099511027336121E-001;2.692234814167023E-001;
2.596350000000000E+009;6.782793402671814E-001;2.594513595104218E-001;
2.611300000000000E+009;6.388416290283203E-001;2.059209942817688E-001;
2.626250000000000E+009;6.293739080429077E-001;1.421605944633484E-001;
2.641200000000000E+009;6.465364694595337E-001;8.530054241418839E-002;
2.656150000000000E+009;6.798600554466248E-001;5.791315808892250E-002;
2.671100000000000E+009;6.949065923690796E-001;5.564402416348457E-002;
2.686050000000000E+009;6.913184523582459E-001;6.326247006654739E-002;
2.701000000000000E+009;6.629004478454590E-001;5.598353594541550E-002;
2.715950000000000E+009;6.327695846557617E-001;1.459277607500553E-002;
2.730900000000000E+009;6.396306157112122E-001;-2.788629941642284E-002;
2.745850000000000E+009;6.424272656440735E-001;-5.512252822518349E-002;
2.760800000000000E+009;6.585610508918762E-001;-5.960141494870186E-002;
2.775750000000000E+009;6.687098145484924E-001;-6.126600876450539E-002;
2.790700000000000E+009;6.319330334663391E-001;-7.861620187759399E-002;
2.805650000000000E+009;6.294184327125549E-001;-1.035191863775253E-001;
2.820600000000000E+009;6.274951100349426E-001;-1.324851512908936E-001;
2.835550000000000E+009;6.385054588317871E-001;-1.492310911417007E-001;
2.850500000000000E+009;6.557917594909668E-001;-1.702275723218918E-001;
2.865450000000000E+009;6.396725177764893E-001;-1.697567701339722E-001;
2.880400000000000E+009;6.270472407341003E-001;-1.913630068302155E-001;
2.895350000000000E+009;6.201556324958801E-001;-2.223041057586670E-001;
2.910300000000000E+009;6.115965247154236E-001;-2.581781446933746E-001;
2.925250000000000E+009;6.244549155235291E-001;-3.070559799671173E-001;
2.940200000000000E+009;6.417425274848938E-001;-3.198606371879578E-001;
2.955150000000000E+009;6.306424140930176E-001;-3.349725902080536E-001;
2.970100000000000E+009;6.203939318656921E-001;-3.551045060157776E-001;
2.985050000000000E+009;6.026067733764648E-001;-3.740009367465973E-001;
3.000000000000000E+009;5.755838751792908E-001;-4.106612503528595E-001;
