# Version 1.00
#
freq[Hz];Trc1_S11[U];
2.372100000000000E+009;4.795773155883746E+000;
2.387050000000000E+009;5.892873249789337E+000;
2.402000000000000E+009;5.949564432549212E+000;
2.416950000000000E+009;5.624858860279194E+000;
2.431900000000000E+009;5.349387155916379E+000;
2.446850000000000E+009;4.988743919737073E+000;
2.461800000000000E+009;5.916412692763982E+000;
2.476750000000000E+009;6.710600917499009E+000;
2.491700000000000E+009;7.189662796313558E+000;
2.506650000000000E+009;6.509487402066770E+000;
2.521600000000000E+009;5.561906805917632E+000;
2.536550000000000E+009;5.416680708893122E+000;
2.551500000000000E+009;6.142904992098075E+000;
2.566450000000000E+009;7.121169731862748E+000;
2.581400000000000E+009;7.426205892467700E+000;
2.596350000000000E+009;6.420102152809104E+000;
2.611300000000000E+009;5.120717205638654E+000;
2.626250000000000E+009;4.681746219228693E+000;
2.641200000000000E+009;4.785950950127448E+000;
2.656150000000000E+009;5.353069001186509E+000;
2.671100000000000E+009;5.699797288904015E+000;
2.686050000000000E+009;5.616676772797042E+000;
2.701000000000000E+009;5.050735732012564E+000;
2.715950000000000E+009;4.483540600192448E+000;
2.730900000000000E+009;4.604364198572418E+000;
2.745850000000000E+009;4.673422909999641E+000;
2.760800000000000E+009;4.965352069929653E+000;
2.775750000000000E+009;5.148878529216655E+000;
2.790700000000000E+009;4.547537093724638E+000;
2.805650000000000E+009;4.570403016439222E+000;
2.820600000000000E+009;4.608499493862734E+000;
2.835550000000000E+009;4.869677548144760E+000;
2.850500000000000E+009;5.249780731769900E+000;
2.865450000000000E+009;4.967897382437814E+000;
2.880400000000000E+009;4.849461608477857E+000;
2.895350000000000E+009;4.886287262815688E+000;
2.910300000000000E+009;5.015206318678869E+000;
2.925250000000000E+009;5.627091042530442E+000;
2.940200000000000E+009;6.165622185454645E+000;
2.955150000000000E+009;6.099668900378034E+000;
2.970100000000000E+009;6.081601530224537E+000;
2.985050000000000E+009;5.957018563694303E+000;
3.000000000000000E+009;5.904184838362419E+000;
